Number_of_people,Average_Age,Total_Income,Occupation,Lifestyle,House_Size,Presence_of_garden,Number_of_bathrooms,Dishwasher_usage,Washing_machine_usage,Swimming_pool,Water_storage,Water_footprint
2,65,41385,Salaried,Minimalist,902,Yes,2,Never,Daily,No,Well,11598
5,9,36018,Business,Luxury,2690,No,1,Daily,Rarely,Yes,Direct Supply,5497
5,8,110158,Retired,Minimalist,2576,No,1,Daily,Never,Yes,Well,6821
4,65,84021,Salaried,Minimalist,1783,No,1,Weekly,Never,Yes,Direct Supply,9523
7,41,32491,Business,Luxury,503,Yes,1,Never,Never,Yes,Tank,8650
1,13,194057,Retired,Luxury,1632,No,3,Never,Never,No,Tank,11181
3,73,144802,Student,Average,2752,No,4,Weekly,Rarely,No,Direct Supply,8359
1,26,31127,Salaried,Luxury,1856,No,4,Rarely,Never,No,Direct Supply,14456
7,36,144523,Student,Luxury,809,No,2,Weekly,Never,No,Well,7190
5,32,184189,Business,Minimalist,2998,No,1,Rarely,Weekly,No,Well,9703
2,69,26948,Salaried,Luxury,2451,Yes,3,Daily,Daily,No,Direct Supply,4337
2,18,41311,Salaried,Average,2218,No,2,Rarely,Weekly,No,Direct Supply,3544
5,73,119626,Business,Minimalist,972,No,4,Weekly,Daily,No,Direct Supply,5268
4,47,130241,Business,Average,1126,No,2,Weekly,Never,No,Well,7376
2,68,56385,Business,Average,2856,No,2,Daily,Weekly,Yes,Direct Supply,6565
5,1,53197,Salaried,Luxury,1892,No,2,Rarely,Daily,No,Well,10083
6,8,189368,Student,Luxury,1947,Yes,3,Weekly,Daily,Yes,Well,4533
1,31,138624,Salaried,Minimalist,1234,Yes,1,Weekly,Weekly,Yes,Tank,12070
2,42,131107,Retired,Minimalist,1160,Yes,4,Rarely,Daily,Yes,Tank,8672
4,31,143215,Salaried,Minimalist,941,Yes,1,Never,Rarely,No,Well,9361
2,79,168043,Student,Luxury,1143,No,1,Rarely,Weekly,No,Tank,7047
4,75,73717,Student,Luxury,2393,Yes,4,Rarely,Never,Yes,Well,10013
2,39,61301,Student,Minimalist,1156,No,2,Weekly,Rarely,No,Well,11439
2,15,87495,Business,Average,833,Yes,3,Rarely,Weekly,No,Well,14255
3,77,74744,Business,Minimalist,2822,Yes,4,Never,Never,Yes,Well,12673
5,26,22645,Retired,Luxury,621,No,4,Never,Weekly,Yes,Direct Supply,8149
7,12,36898,Business,Luxury,2305,No,3,Daily,Never,No,Tank,6317
7,42,82372,Retired,Average,1191,Yes,4,Rarely,Weekly,No,Tank,9496
4,76,145275,Student,Minimalist,576,No,3,Never,Daily,No,Tank,13492
4,10,74541,Salaried,Average,2390,Yes,3,Rarely,Weekly,Yes,Well,3349
1,6,189919,Student,Average,1455,No,1,Daily,Daily,Yes,Direct Supply,12205
2,30,174026,Business,Luxury,2734,No,2,Never,Rarely,No,Direct Supply,6939
1,20,45884,Retired,Luxury,2047,No,2,Weekly,Weekly,Yes,Tank,4235
2,52,106069,Business,Luxury,665,Yes,4,Rarely,Never,Yes,Well,5079
1,7,164495,Salaried,Luxury,1379,Yes,3,Weekly,Daily,Yes,Direct Supply,6493
3,36,140485,Salaried,Minimalist,1291,Yes,4,Never,Never,No,Tank,13335
6,39,80506,Business,Luxury,2620,No,1,Daily,Never,Yes,Direct Supply,6855
1,73,39670,Student,Minimalist,2131,Yes,4,Weekly,Daily,Yes,Tank,13262
5,15,74006,Business,Average,1311,No,1,Never,Weekly,Yes,Well,9472
5,72,153888,Retired,Minimalist,1959,No,4,Weekly,Weekly,No,Well,5967
2,21,129699,Salaried,Luxury,2143,No,1,Never,Rarely,Yes,Tank,10327
2,56,174468,Business,Luxury,2870,Yes,2,Weekly,Rarely,No,Tank,5583
7,80,34362,Business,Luxury,2603,No,3,Rarely,Never,No,Direct Supply,14993
1,62,187075,Salaried,Average,1153,No,2,Daily,Daily,No,Tank,13265
2,60,20335,Salaried,Luxury,993,Yes,2,Daily,Never,Yes,Tank,8583
7,23,96031,Student,Minimalist,600,No,1,Daily,Rarely,No,Direct Supply,2652
2,74,154469,Salaried,Luxury,2564,No,2,Weekly,Rarely,No,Well,12456
3,2,41888,Salaried,Average,2327,No,2,Daily,Never,Yes,Tank,14402
4,20,20123,Student,Average,1541,No,3,Daily,Never,Yes,Direct Supply,4895
4,66,158712,Business,Average,2053,No,3,Weekly,Never,Yes,Tank,3097
6,45,188227,Salaried,Average,1627,No,2,Never,Weekly,No,Tank,14692
6,42,190689,Student,Luxury,2029,No,1,Weekly,Weekly,No,Well,9214
2,73,78284,Salaried,Luxury,2321,No,1,Daily,Rarely,No,Well,11766
